ID,Datetime,Temperature,Heat Index,Humidity,Water flow,Soil Moisture,Water quantity,Eto
1,1/1/1991,27.7,25.6,18,0,0,0,4.01
2,1/2/1991,27.9,25.75,18,0,0,0,3.92
3,1/3/1991,27.8,25.67,17,0,0,0,3.92
4,1/4/1991,27.8,25.67,17,0,0,0,3.76
5,1/5/1991,27.6,25.53,17,0,0,0,3.83
6,1/6/1991,27.8,25.67,16,0,0,0,3.68
7,1/7/1991,31.9,53.57,16,0,1.71,0,3.76
8,1/8/1991,48.1,40.68,16,0,3.42,0,4.06
9,1/9/1991,46.3,39.76,16,0,3.42,0,4.29
10,1/10/1991,44.2,38.33,16,0,3.42,0,4.53
11,1/11/1991,45,39.05,16,0,3.42,0,4.72
12,1/12/1991,44.7,38.89,16,0,3.67,0,4.58
13,1/13/1991,43.5,37.67,16,0,3.67,0,4.55
14,1/14/1991,42.6,36.92,16,0,3.67,0,4.55
15,1/15/1991,42.7,37,16,0,3.67,0,4.38
16,1/16/1991,41,35.66,16,0,3.42,0,4.55
17,1/17/1991,38.7,33.85,18,0,1.71,0,4.64
18,1/18/1991,34.1,30.2,36,0,1.71,0,4.44
19,1/19/1991,31.4,50.98,23,0,1.71,0,4.72
20,1/20/1991,31.2,49.96,27,0,1.71,0,4.74
21,1/21/1991,31.2,49.96,27,0,1.71,0,4.97
22,1/22/1991,30.7,47.48,36,0,1.71,0,5.24
23,1/23/1991,30.4,46.08,16,0,1.71,0,5.39
24,1/24/1991,29.9,43.89,29,0,1.71,0,5
25,1/25/1991,29.6,42.62,16,0,1.71,0,5.59
26,1/26/1991,29.4,41.79,16,0,1.71,0,5.64
27,1/27/1991,29.4,41.79,16,0,1.71,0,5.71
28,1/28/1991,29.3,41.38,16,0,1.71,0,5.84
29,1/29/1991,29.1,40.57,27,0,1.71,0,5.5
30,1/30/1991,28.7,38.99,16,0,1.71,0,5.94
31,1/31/1991,28.2,37.09,16,0,1.71,0,6.15
32,2/1/1991,27.7,35.28,16,0,1.71,0,6.32
33,2/2/1991,27.4,34.23,16,0,1.71,0,6.6
34,2/3/1991,27.3,33.89,16,0,1.71,0,6.41
35,2/4/1991,27.1,33.22,16,0,1.71,0,6.35
36,2/5/1991,27.2,33.55,23,0,1.71,0,6.47
37,2/6/1991,27.1,33.22,28,0,1.71,0,6.72
38,2/7/1991,26.9,25.68,40,0,1.71,0,7.24
39,2/8/1991,26.8,25.56,40,0,1.71,0,7.09
40,2/9/1991,27.8,35.63,40,0,1.71,0,7.37
41,2/10/1991,31.9,53.57,40,0,1.71,0,7.57
42,2/11/1991,43.3,37.5,28,0,3.67,0,7.28
43,2/12/1991,51.2,42.12,16,0,3.42,0,6.84
44,2/13/1991,50.7,41.9,28,0,3.42,0,6.88
45,2/14/1991,49.5,41.36,39,0,3.42,0,6.98
46,2/15/1991,49.4,41.31,41,0,3.67,0,7.33
47,2/16/1991,47.2,40.23,41,0,3.67,0,7.13
48,2/17/1991,44.7,38.89,37,0,3.67,0,7.05
49,2/18/1991,45.6,39.39,40,0,3.67,0,6.13
50,2/19/1991,44.2,38.33,40,0,3.67,0,5.24
51,2/20/1991,43.5,37.67,30,0,3.67,0,5.78
52,2/21/1991,44.5,38.77,16,0,3.67,0,6.69
53,2/22/1991,43,37.25,16,0,3.67,0,7.05
54,2/23/1991,40.7,35.42,36,0,3.67,0,7.28
55,2/24/1991,32.1,54.64,31,0,1.71,0,7.36
56,2/25/1991,31,48.96,16,0,1.71,0,7.51
57,2/26/1991,30.6,47,16,0,1.71,0,7.55
58,2/27/1991,30.2,45.2,16,0,1.71,0,6.98
59,2/28/1991,30,44.32,16,0,1.71,0,8.01
60,3/1/1991,30.1,44.76,19,0,1.71,0,7.68
61,3/2/1991,30.1,44.76,16,0,1.71,0,7.7
62,3/3/1991,29.4,41.79,16,0,1.71,0,7.91
63,3/4/1991,29.2,40.97,27,0,1.71,0,7.44
64,3/5/1991,29.1,40.57,29,0,1.71,0,7.85
65,3/6/1991,29.1,40.57,16,0,1.71,0,7.84
66,3/7/1991,28.7,38.99,16,0,1.71,0,7.82
67,3/8/1991,28.5,38.22,16,0,1.71,0,8.01
68,3/9/1991,28.4,37.84,16,0,1.71,0,8.1
69,3/10/1991,28.6,38.6,16,0,1.71,0,7.77
70,3/11/1991,28.1,36.72,16,0,1.71,0,7.78
71,3/12/1991,27.8,35.63,16,0,1.71,0,7.79
72,3/13/1991,27.6,34.93,16,0,1.71,0,7.81
73,3/14/1991,27.4,34.23,16,0,1.71,0,7.82
74,3/15/1991,27.4,34.23,16,0,1.71,0,7.83
75,3/16/1991,27.1,33.22,16,0,1.71,0,7.84
76,3/17/1991,26.9,32.56,16,0,1.71,0,4.01
77,3/18/1991,27.1,33.22,16,0,1.71,0,3.92
78,3/19/1991,28.3,37.46,18,0,1.71,0,3.92
79,3/20/1991,32.5,56.81,43,0,1.71,0,3.76
